restaurant_key,business_name,aka_name,license_number,street_address,city,state,zip
8589951905,FIESTA SUSHI,,,611 W JEFFERSON BLVD,DALLAS,TX,75208
8589951906,STEVE'S LOUNGE,STEVE'S LOUNGE,833.0,13200 S BALTIMORE AVE,CHICAGO,IL,60633
8589951907,CAFE NORDSTROM,CAFE NORDSTROM,1021790.0,55 E GRAND AVE,CHICAGO,IL,60611
8589951908,GREAT LAKES ACADEMY,GREAT LAKES ACADEMY,3305802.0,8401 S Saginaw AVE,CHICAGO,IL,60617
8589951909,PRINTER'S ROW COFFEE COMPANY,PRINTER'S ROW COFFEE COMPANY,2529036.0,2482 N LINCOLN AVE,CHICAGO,IL,60614
8589951910,DAILY GRIND,DAILY GRIND,2835037.0,122 S MICHIGAN AVE,CHICAGO,IL,60603
8589951911,"CARNITAS DON RAFA, INC.","CARNITAS DON RAFA, INC.",2535167.0,4597 S ARCHER AVE,CHICAGO,IL,60632
8589951912,THE APPLE MARKET,THE APPLE MARKET,4770.0,2345 N CLARK ST,CHICAGO,IL,60614
8589951913,COLUTAS PIZZA,COLUTAS PIZZA,71931.0,3239 N HARLEM AVE,CHICAGO,IL,60634
8589951914,SIETE LUNAS,SIETE LUNAS,2971471.0,8800 S COMMERCIAL AVE,CHICAGO,IL,60617
8589951915,AFC SUSHI @ JEWEL OSCO #3224,AFC SUSHI @ JEWEL OSCO,2446872.0,6430 W IRVING PARK RD,CHICAGO,IL,60634
8589951916,MONTESSORI FOUNDATIONS OF CHICAGO,MONTESSORI FOUNDATIONS OF CHICAGO,2684303.0,2239 W 35TH ST,CHICAGO,IL,60609
8589951917,TACO MARIO'S LIMITED,TACO MARIO'S LIMITED,2622418.0,2300 S THROOP ST,CHICAGO,IL,60608
8589951918,TEN CAFE,TEN CAFE,2713537.0,3308 N WESTERN AVE,CHICAGO,IL,60618
8589951919,WALDORF ASTORIA CHICAGO,BRASSERIE/ PIETISSERIE / WALDORF ROOM SERVICE,2134579.0,11 E WALTON ST,CHICAGO,IL,60611
8589951920,KEN'S,KEN'S,83988.0,10522 S WESTERN AVE,CHICAGO,IL,60643
8589951921,LA ESQUINA DEL TACO,LA ESQUINA DEL TACO,2882060.0,3259 W 63RD ST,CHICAGO,IL,60629
8589951922,LOS AZARES MEXICAN GRILL LLC,LOS AZARES MEXICAN GRILL,2754075.0,5238 N NAGLE AVE,CHICAGO,IL,60630
8589951923,LA JEREZANA,LA JEREZANA,27371.0,3022 E 91ST ST,CHICAGO,IL,60617
8589951924,PIECE OUT,PIECE OUT,1879140.0,1923 W NORTH AVE,CHICAGO,IL,60622
8589951925,MARIANO'S #8527 UKRANIAN VILLAGE,MARIANO'S #8527 UKRANIAN VILLAGE,2307748.0,2021 W CHICAGO AVE,CHICAGO,IL,60622
8589951926,DREAM NUTRITION CAFE,DREAM NUTRITION CAFE,2845439.0,6206 N BROADWAY,CHICAGO,IL,60660
8589951927,CORONAS CAFE INC.,CORONAS CAFE,2475823.0,909 W IRVING PARK RD,CHICAGO,IL,60613
